year,ympe,exempt,worker,employer,selfemp,arf,drc,nympe,reprate,droprate,pu1,pu2,pu3,pu4,survmax60,survmax65,survage1,survage2,survrate1,survrate2,era,nra,lra,supp,disab_rate,disab_base,cola,ympe_s2,worker_s1,employer_s1,worker_s2,employer_s2,selfemp_s1,selfemp_s2,reprate_s1,reprate_s2,supp_s1,supp_s2
1966,5000.00,600.00,0.0180,0.0180,0.036,0.000,0.000,3.00,0.00,0.15,0.00,0.00,0.00,0.00,0,0,45.00,65.00,0.375,0.600,69.00,69.00,70.00,0.00,0.75,0.00,0.000,1,0,0,0,0,0,0,0,0,0.000,0.000
1967,5000.00,600.00,0.0180,0.0180,0.036,0.000,0.000,3.00,0.00,0.15,0.00,0.00,0.00,0.00,239.64,239.64,45.00,65.00,0.375,0.600,68.00,68.00,70.00,0.00,0.75,0.00,0.000,1,0,0,0,0,0,0,0,0,0.000,0.000
1968,5100.00,600.00,0.0180,0.0180,0.036,0.000,0.000,3.00,0.25,0.15,25.50,25.50,25.50,25.50,366.96,366.96,45.00,65.00,0.375,0.600,67.00,67.00,70.00,0.00,0.75,0.00,0.020,1,0,0,0,0,0,0,0,0,0.000,0.000
1969,5200.00,600.00,0.0180,0.0180,0.036,0.000,0.000,3.00,0.25,0.15,26.01,26.01,26.01,26.01,499.44,499.44,45.00,65.00,0.375,0.600,66.00,66.00,70.00,0.00,0.75,0.00,0.020,1,0,0,0,0,0,0,0,0,0.000,0.000
1970,5300.00,600.00,0.0180,0.0180,0.036,0.000,0.000,3.00,0.25,0.15,26.53,26.53,26.53,26.53,639.12,639.12,45.00,65.00,0.375,0.600,65.00,65.00,70.00,0.00,0.75,26.53,0.020,1,0,0,0,0,0,0,0,0,0.000,0.000
1971,5400.00,600.00,0.0180,0.0180,0.036,0.000,0.000,3.00,0.25,0.15,27.06,27.06,27.06,27.06,783.96,783.96,45.00,65.00,0.375,0.600,65.00,65.00,70.00,0.00,0.75,27.06,0.020,1,0,0,0,0,0,0,0,0,0.000,0.000
1972,5500.00,600.00,0.0180,0.0180,0.036,0.000,0.000,3.00,0.25,0.15,27.60,27.60,27.60,27.60,933.72,933.72,45.00,65.00,0.375,0.600,65.00,65.00,70.00,0.00,0.75,80.00,0.020,1,0,0,0,0,0,0,0,0,0.000,0.000
1973,5600.00,600.00,0.0180,0.0180,0.036,0.000,0.000,3.00,0.25,0.15,80.00,80.00,80.00,80.00,1088.52,1088.52,45.00,65.00,0.375,0.600,65.00,65.00,70.00,0.00,0.75,86.56,0.030,1,0,0,0,0,0,0,0,0,0.000,0.000
1974,6600.00,700.00,0.0180,0.0180,0.036,0.000,0.000,3.00,0.25,0.15,86.56,86.56,86.56,86.56,1315.2,1315.2,45.00,65.00,0.375,0.600,65.00,65.00,70.00,0.00,0.75,95.59,0.082,1,0,0,0,0,0,0,0,0,0.000,0.000
1975,7400.00,700.00,0.0180,0.0180,0.036,0.000,0.000,3.00,0.25,0.15,95.56,95.56,95.56,95.56,1619.64,1619.64,45.00,65.00,0.375,0.600,65.00,65.00,70.00,0.00,0.75,106.26,0.104,1,0,0,0,0,0,0,0,0,0.000,0.000
1976,8300.00,800.00,0.0180,0.0180,0.036,0.000,0.000,3.00,0.25,0.15,106.26,106.26,106.26,106.26,1858.32,1858.32,45.00,65.00,0.375,0.600,65.00,65.00,70.00,0.00,0.75,114.96,0.112,1,0,0,0,0,0,0,0,0,0.000,0.000
1977,9300.00,900.00,0.0180,0.0180,0.036,0.000,0.000,3.00,0.25,0.15,114.96,114.96,114.96,114.96,2083.32,2083.32,45.00,65.00,0.375,0.600,65.00,65.00,70.00,0.00,0.75,123.56,0.082,1,0,0,0,0,0,0,0,0,0.000,0.000
1978,10400.00,1000.00,0.0180,0.0180,0.036,0.000,0.000,3.00,0.25,0.15,123.56,123.56,123.56,123.56,2333.28,2333.28,45.00,65.00,0.375,0.600,65.00,65.00,70.00,0.00,0.75,134.64,0.075,1,0,0,0,0,0,0,0,0,0.000,0.000
1979,11700.00,1100.00,0.0180,0.0180,0.036,0.000,0.000,3.00,0.25,0.15,134.64,134.64,134.64,134.64,2616.72,2616.72,45.00,65.00,0.375,0.600,65.00,65.00,70.00,0.00,0.75,146.78,0.090,1,0,0,0,0,0,0,0,0,0.000,0.000
